"Region","Station","Date","Daily Rainfall Total (mm)","Highest 30 min Rainfall (mm)","Highest 60 min Rainfall (mm)","Highest 120 min Rainfall (mm)","Mean Temperature (°C)","Maximum Temperature (°C)","Minimum Temperature (°C)","Mean Wind Speed (km/h)","Max Wind Speed (km/h)","Latitude","Longitude"
"North","Admiralty",2020-02-25,0,0,0,0,27.7,31.6,25.2,23,50.8,1.4439,103.7854
"North","Admiralty",2020-02-26,0,0,0,0,27.9,32.4,25.1,22.3,49,1.4439,103.7854
"North","Admiralty",2020-02-27,0,0,0,0,28.1,32.8,25.3,21.6,47.2,1.4439,103.7854
"North","Admiralty",2020-02-28,0,0,0,0,28,32.3,25.4,22,47.5,1.4439,103.7854
"North","Admiralty",2020-02-29,0,0,0,0,27.8,32.5,24.9,22.3,45.7,1.4439,103.7854
"North","Admiralty",2020-03-01,0.2,0.2,0.2,0.2,27.5,30.4,25.7,22.7,52.2,1.4439,103.7854
"North","Admiralty",2020-03-02,0,0,0,0,27.4,31.6,24.6,22,49.7,1.4439,103.7854
"North","Admiralty",2020-03-03,0,0,0,0,28,32.1,25.4,21.6,47.5,1.4439,103.7854
"North","Admiralty",2020-03-04,8.6,6.2,6.4,7.2,27.9,32.7,24.4,14.4,41.5,1.4439,103.7854
"North","Admiralty",2020-03-05,6,4.4,5.6,5.8,28.6,33.1,25.2,9.8,26.3,1.4439,103.7854
"North","Admiralty",2020-03-06,0,0,0,0,28.6,32.3,25.8,11.6,35.6,1.4439,103.7854
"North","Admiralty",2020-03-07,0,0,0,0,29.7,33.5,27.7,9.1,32.8,1.4439,103.7854
"North","Admiralty",2020-03-08,0,0,0,0,29.5,33.2,27.3,9.2,28.2,1.4439,103.7854
"North","Admiralty",2020-03-09,6.8,3,4.4,5.2,26.6,29.7,24.8,9.8,25.9,1.4439,103.7854
"North","Admiralty",2020-03-10,7.2,3.4,4.6,6.8,27.6,32.6,23.4,9.6,35.2,1.4439,103.7854
"North","Admiralty",2020-03-11,0.6,0.4,0.4,0.4,27.4,31.5,25.5,12.1,33.9,1.4439,103.7854
"North","Admiralty",2020-03-12,6.2,4.6,4.8,5.2,26.6,33.7,24,14.7,55.7,1.4439,103.7854
"North","Admiralty",2020-03-13,0,0,0,0,29.3,36,25.8,16.9,41.4,1.4439,103.7854
"North","Admiralty",2020-03-14,0,0,0,0,28.9,33.5,26.5,18.7,41.8,1.4439,103.7854
"North","Admiralty",2020-03-15,0,0,0,0,28.9,33.1,26.7,21.6,46.1,1.4439,103.7854
"North","Admiralty",2020-03-16,0,0,0,0,28.5,32.7,26.6,22.3,61.2,1.4439,103.7854
"North","Admiralty",2020-03-17,0,0,0,0,28.5,32.4,25.9,20.9,50.4,1.4439,103.7854
"North","Admiralty",2020-03-18,5.4,3.4,3.6,5.4,27.9,32,25.5,18.7,44.6,1.4439,103.7854
"North","Admiralty",2020-03-19,0,0,0,0,28.3,33.9,25.7,16.2,41,1.4439,103.7854
"North","Admiralty",2020-03-20,0,0,0,0,28.1,32.8,26,17.6,41,1.4439,103.7854
"North","Admiralty",2020-03-21,45.2,26.8,39.2,45,27.5,32,24.1,16.9,39.2,1.4439,103.7854
"North","Admiralty",2020-03-22,26.8,12.8,24,26.8,27.3,33.8,23.6,13,53.6,1.4439,103.7854
"North","Admiralty",2020-03-23,19.4,9,12.8,18,26.5,30.4,24,11.9,32.8,1.4439,103.7854
"North","Admiralty",2020-03-24,0.2,0.2,0.2,0.2,28.2,33.6,24.7,17.3,47.5,1.4439,103.7854
"North","Admiralty",2020-03-25,0,0,0,0,28.4,32,25.8,14.4,38.2,1.4439,103.7854
"North","Admiralty",2020-03-26,0,0,0,0,29,33.6,26,17.6,39.2,1.4439,103.7854
"North","Admiralty",2020-03-27,30.6,23,28.8,28.8,28.1,34.6,23.8,14.8,44.3,1.4439,103.7854
"North","Admiralty",2020-03-28,14.2,10.6,14,14,28.8,34.9,25.8,14,36.4,1.4439,103.7854
"North","Admiralty",2020-03-29,0,0,0,0,28.9,33.9,26.3,18.7,37.8,1.4439,103.7854
"North","Admiralty",2020-03-30,0.2,0.2,0.2,0.2,28.9,34.8,25.9,15.1,35.6,1.4439,103.7854
"North","Admiralty",2020-03-31,0,0,0,0,29.4,35,26.6,16.2,39.6,1.4439,103.7854
"North","Admiralty",2020-04-01,7,6.2,6.8,7,26.7,30.3,25.2,20.9,58.7,1.4439,103.7854
"North","Admiralty",2020-04-02,0,0,0,0,27.1,31.4,24.4,20.2,49.7,1.4439,103.7854
"North","Admiralty",2020-04-03,0.6,0.6,0.6,0.6,28.3,33.1,25.8,18.4,41.4,1.4439,103.7854
"North","Admiralty",2020-04-04,0,0,0,0,29.2,33.8,26.4,16.1,40.7,1.4439,103.7854
"North","Admiralty",2020-04-05,0.2,0.2,0.2,0.2,27.8,30.9,26.1,13,29.8,1.4439,103.7854
"North","Admiralty",2020-04-06,13.8,9.8,10.8,11,28.5,34,24.1,8.4,51.5,1.4439,103.7854
"North","Admiralty",2020-04-07,0.2,0.2,0.2,0.2,28.6,32.8,25.1,11,40,1.4439,103.7854
"North","Admiralty",2020-04-08,1,1,1,1,27.6,29.6,24.1,9.9,59.4,1.4439,103.7854
"North","Admiralty",2020-04-09,5,3.8,3.8,3.8,27,31.6,25,10.3,31.3,1.4439,103.7854
"North","Admiralty",2020-04-10,0,0,0,0,28.7,31.2,27,8.4,18.7,1.4439,103.7854
"North","Admiralty",2020-04-11,18.2,8.4,10.6,12.6,25.1,26.9,23.3,12,48.2,1.4439,103.7854
"North","Admiralty",2020-04-12,4.2,3.6,3.6,4.2,26.4,31.1,24.6,18.8,46.5,1.4439,103.7854
"North","Admiralty",2020-04-13,27.6,22.2,27.4,27.6,28.2,32.7,22.4,14.2,51.5,1.4439,103.7854
"North","Admiralty",2020-04-14,0,0,0,0,29.2,33.7,26.3,19,44.6,1.4439,103.7854
"North","Admiralty",2020-04-15,0,0,0,0,29.3,33,26.2,18.1,45.4,1.4439,103.7854
"North","Admiralty",2020-04-16,0,0,0,0,29.5,34.4,26.4,18.5,41.9,1.4439,103.7854
"North","Admiralty",2020-04-17,0,0,0,0,29.5,34.3,26.6,15.7,37,1.4439,103.7854
"North","Admiralty",2020-04-18,0,0,0,0,29.3,34.4,26.2,16.4,43.5,1.4439,103.7854
"North","Admiralty",2020-04-19,0,0,0,0,30.1,34.7,27.6,16.4,36.7,1.4439,103.7854
"North","Admiralty",2020-04-20,0,0,0,0,30,34.5,27.2,17.9,37,1.4439,103.7854
"North","Admiralty",2020-04-21,63.2,30,51.8,61.8,28.4,32.9,23.3,14.1,46.1,1.4439,103.7854
"North","Admiralty",2020-04-22,1,0.8,1,1.2,29.1,34.9,26.9,15.1,45.7,1.4439,103.7854
"North","Admiralty",2020-04-23,12.6,6.8,6.8,6.8,27.7,34.2,25.5,11.5,41.9,1.4439,103.7854
"North","Admiralty",2020-04-24,4,1.2,2.2,3.2,27.2,34.6,25.1,9.6,36.3,1.4439,103.7854
"North","Admiralty",2020-04-25,2.4,2.2,2.2,2.2,27.2,31.3,25.8,10.3,37.4,1.4439,103.7854
"North","Admiralty",2020-04-26,2.2,1.6,1.8,2,27,32.5,25.5,11,35.6,1.4439,103.7854
"North","Admiralty",2020-04-27,0,0,0,0,27.2,30.7,24.9,11.2,42,1.4439,103.7854
"North","Admiralty",2020-04-28,NA,0,0,0,28.4,31.8,26,10.9,25.9,1.4439,103.7854
"North","Admiralty",2020-04-29,NA,2.4,3,5.4,28.9,34.5,25.1,11,42,1.4439,103.7854
"North","Admiralty",2020-04-30,9.2,3.8,4.2,4.2,27.7,33.6,24.8,11.5,30.6,1.4439,103.7854
"North","Admiralty",2020-05-01,0,0,0,0,27.6,31.6,25.1,22.3,45.4,1.4439,103.7854
"North","Admiralty",2020-05-02,0,0,0,0,27.4,32.1,24.7,20.5,46.4,1.4439,103.7854
"North","Admiralty",2020-05-03,1.6,0.6,1,1.2,27.1,29.9,25,17.6,39.6,1.4439,103.7854
"North","Admiralty",2020-05-04,0,0,0,0,28.2,33.8,25.3,13.4,46.9,1.4439,103.7854
"North","Admiralty",2020-05-05,3,3,3,3,28.3,35,25.6,12.2,45,1.4439,103.7854
"North","Admiralty",2020-05-06,9.8,NA,NA,NA,27.9,31.5,23.9,8,33.2,1.4439,103.7854
"North","Admiralty",2020-05-07,2.6,1.8,2.4,2.6,27,32.8,24.6,11.6,53.7,1.4439,103.7854
"North","Admiralty",2020-05-08,0,0,0,0,29,33,26.5,8.3,28.2,1.4439,103.7854
